,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
641,641,0,0,0,1,9
642,642,1,1,0,2,6
643,643,0,0,1,1,8
644,644,1,0,2,0,7
645,645,1,0,0,1,8
646,646,1,0,1,2,6
647,647,0,0,1,5,4
648,648,1,0,0,3,6
649,649,1,0,1,3,5
650,650,0,0,0,8,2
651,651,1,1,0,0,8
652,652,2,0,0,0,8
653,653,2,0,1,0,7
654,654,1,1,0,1,7
655,655,2,1,0,2,5
656,656,1,0,0,1,8
657,657,0,0,2,0,8
658,658,1,0,0,2,7
659,659,0,0,0,2,8
660,660,0,2,0,1,7
661,661,0,1,1,5,3
662,662,0,1,0,1,8
663,663,1,0,0,2,7
664,664,2,1,0,1,6
665,665,2,0,0,2,6
666,666,2,0,1,0,7
667,667,0,0,1,1,8
668,668,1,0,0,1,8
669,669,1,0,0,1,8
670,670,1,0,2,0,7
671,671,0,0,0,1,9
672,672,0,0,2,4,4
673,673,0,0,0,1,9
674,674,4,0,0,2,4
675,675,3,1,1,0,5
676,676,0,0,1,1,8
677,677,0,1,1,6,2
678,678,3,0,0,1,6
679,679,1,0,0,1,8
680,680,4,0,1,0,5
681,681,1,2,0,2,5
682,682,1,1,1,3,4
683,683,1,0,0,1,8
684,684,0,0,0,2,8
685,685,2,0,1,2,5
686,686,3,0,1,0,6
687,687,1,2,0,1,6
688,688,3,1,0,2,4
689,689,0,1,0,1,8
690,690,0,0,1,2,7
691,691,1,1,0,3,5
692,692,0,0,0,0,10
693,693,1,0,2,0,7
694,694,3,0,0,2,5
695,695,3,0,1,0,6
696,696,1,0,1,2,6
697,697,0,0,0,0,10
698,698,0,1,2,0,7
699,699,2,2,0,1,5
700,700,3,0,1,0,6
701,701,1,0,0,7,2
702,702,0,0,0,0,10
703,703,2,0,0,2,6
704,704,0,0,0,1,9
705,705,0,0,0,0,10
706,706,0,0,0,5,5
707,707,1,0,0,2,7
708,708,1,1,0,4,4
709,709,0,1,0,1,8
710,710,0,1,1,2,6
711,711,1,0,0,2,7
712,712,0,0,0,0,10
713,713,0,0,1,1,8
714,714,3,0,1,1,5
715,715,0,0,1,1,8
716,716,0,0,1,0,9
717,717,3,1,0,2,4
718,718,2,0,1,2,5
719,719,1,0,0,4,5
720,720,1,0,0,4,5
721,721,2,1,2,3,2
722,722,1,1,0,3,5
723,723,2,0,0,4,4
724,724,0,0,2,0,8
725,725,1,0,0,2,7
726,726,3,0,3,1,3
727,727,0,2,2,1,5
728,728,0,0,2,1,7
729,729,1,3,1,2,3
730,730,2,0,0,3,5
731,731,2,1,0,3,4
732,732,1,1,0,2,6
733,733,2,0,0,2,6
734,734,1,0,0,1,8
735,735,1,0,0,0,9
736,736,0,0,1,0,9
737,737,0,1,1,1,7
738,738,1,2,1,1,5
739,739,0,0,3,0,7
740,740,0,0,1,1,8
741,741,1,1,0,1,7
742,742,2,1,0,1,6
743,743,0,1,1,7,1
744,744,1,0,1,0,8
745,745,1,1,0,2,6
746,746,0,0,0,1,9
747,747,2,1,1,1,5
748,748,1,0,0,1,8
749,749,1,3,0,1,5
750,750,0,0,0,0,10
751,751,2,0,1,1,6
752,752,1,0,1,2,6
753,753,0,1,0,3,6
754,754,2,1,0,1,6
755,755,3,0,1,1,5
756,756,3,0,1,0,6
757,757,1,1,1,0,7
758,758,1,1,0,2,6
759,759,3,1,0,0,6
760,760,0,0,2,5,3
761,761,0,0,1,1,8
762,762,4,0,0,1,5
763,763,0,0,2,0,8
764,764,1,0,2,1,6
765,765,1,3,1,3,2
766,766,5,0,0,0,5
767,767,0,0,1,0,9
768,768,0,1,0,0,9
769,769,0,0,1,4,5
770,770,0,0,0,1,9
771,771,1,0,0,3,6
772,772,0,0,0,3,7
773,773,1,1,0,2,6
774,774,2,0,1,1,6
775,775,0,0,0,0,10
776,776,0,0,2,2,6
777,777,0,0,1,0,9
778,778,2,0,0,2,6
779,779,1,0,0,0,9
780,780,3,0,0,0,7
781,781,0,0,1,1,8
782,782,2,0,0,3,5
783,783,2,1,0,1,6
784,784,1,0,0,0,9
785,785,0,0,0,5,5
786,786,1,1,1,0,7
787,787,2,0,1,0,7
788,788,2,0,0,2,6
789,789,1,0,3,1,5
790,790,0,1,0,0,9
791,791,1,1,3,0,5
792,792,0,0,1,1,8
793,793,1,0,0,2,7
794,794,1,0,1,2,6
795,795,0,0,1,0,9
796,796,1,0,0,0,9
797,797,0,1,1,0,8
798,798,0,0,0,3,7
799,799,4,0,1,1,4
800,800,2,0,0,3,5
801,801,1,0,0,0,9
802,802,1,1,0,3,5
803,803,0,0,0,2,8
804,804,4,0,1,0,5
805,805,3,1,0,1,5
806,806,0,1,1,0,8
807,807,2,1,0,1,6
808,808,0,2,2,0,6
809,809,1,0,2,1,6
810,810,1,2,0,2,5
811,811,2,0,0,0,8
812,812,3,0,3,1,3
813,813,2,1,0,3,4
814,814,0,1,0,6,3
815,815,0,1,0,1,8
816,816,1,0,0,4,5
817,817,2,1,0,0,7
818,818,2,0,0,1,7
819,819,3,0,1,0,6
820,820,0,0,0,1,9
821,821,0,0,0,2,8
822,822,0,0,1,0,9
823,823,0,0,1,0,9
824,824,2,0,2,1,5
825,825,0,0,0,0,10
826,826,1,0,2,2,5
827,827,1,0,1,0,8
828,828,1,1,1,0,7
829,829,0,0,1,1,8
830,830,1,1,0,4,4
831,831,0,0,1,1,8
832,832,4,0,1,2,3
833,833,3,0,0,3,4
834,834,2,0,0,5,3
835,835,2,0,1,2,5
836,836,0,1,0,6,3
837,837,2,0,0,3,5
838,838,0,0,1,3,6
839,839,0,0,2,4,4
840,840,3,0,1,0,6
841,841,1,1,0,0,8
842,842,1,1,0,1,7
843,843,1,0,0,2,7
844,844,1,1,1,2,5
845,845,1,0,0,4,5
846,846,1,1,0,2,6
847,847,2,1,0,2,5
848,848,1,0,1,0,8
849,849,1,1,0,4,4
850,850,1,0,1,1,7
851,851,2,0,0,0,8
852,852,0,1,0,6,3
853,853,0,1,1,5,3
854,854,0,0,0,0,10
855,855,2,2,0,1,5
856,856,1,1,1,1,6
857,857,0,1,0,0,9
858,858,1,0,0,2,7
859,859,2,0,1,0,7
860,860,1,0,1,0,8
861,861,0,0,2,3,5
862,862,3,0,1,0,6
863,863,1,1,0,2,6
864,864,1,2,0,2,5
865,865,0,0,1,3,6
866,866,1,0,1,1,7
867,867,0,2,0,1,7
868,868,3,1,0,0,6
869,869,1,0,0,3,6
870,870,0,0,2,1,7
871,871,0,0,2,0,8
872,872,1,0,0,0,9
873,873,1,0,0,4,5
874,874,2,2,0,0,6
875,875,1,0,0,1,8
876,876,1,0,0,1,8
877,877,0,0,1,1,8
878,878,0,1,1,1,7
879,879,3,0,1,1,5
880,880,1,0,0,3,6
881,881,2,1,0,1,6
882,882,0,2,0,1,7
883,883,0,0,1,1,8
884,884,1,0,0,5,4
885,885,2,1,0,2,5
886,886,1,0,1,1,7
887,887,0,0,1,1,8
888,888,0,0,0,0,10
889,889,2,0,0,3,5
890,890,0,0,2,2,6
891,891,1,0,2,1,6
892,892,0,2,0,1,7
893,893,1,1,1,1,6
894,894,0,0,0,3,7
895,895,1,0,0,2,7
896,896,2,0,0,2,6
897,897,0,1,1,0,8
898,898,0,0,0,2,8
899,899,3,0,0,2,5
900,900,2,1,1,1,5
901,901,2,2,0,1,5
902,902,2,2,0,0,6
903,903,0,0,1,2,7
904,904,3,0,1,1,5
905,905,0,0,0,7,3
906,906,1,2,1,1,5
907,907,1,2,1,0,6
908,908,1,1,0,6,2
909,909,0,1,2,2,5
910,910,0,0,0,0,10
911,911,0,0,1,0,9
912,912,1,0,0,3,6
913,913,0,0,0,5,5
914,914,0,0,0,3,7
915,915,1,0,0,3,6
916,916,0,0,1,3,6
917,917,0,0,1,1,8
918,918,0,0,1,0,9
919,919,0,0,0,0,10
920,920,0,1,0,3,6
921,921,1,0,1,2,6
922,922,1,0,0,0,9
923,923,1,0,0,1,8
924,924,2,1,0,1,6
925,925,0,0,2,6,2
926,926,0,0,1,1,8
927,927,0,0,0,0,10
928,928,0,0,1,2,7
929,929,0,0,1,1,8
930,930,2,0,1,1,6
931,931,0,0,1,3,6
932,932,1,1,1,0,7
933,933,2,0,0,2,6
934,934,3,0,0,2,5
935,935,0,0,1,1,8
936,936,1,0,0,0,9
