,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes
111,Roding St / Nash Dr,43.72885964584396,-79.49202997658232,2025-07-29T03:42:29.216158+00:00Z,7,7,1,1,0
112,King St E / Berkeley St,43.651885,-79.3649,2025-07-29T03:42:28.791307+00:00Z,17,13,1,1,0
113,Royal York Rd / Mimico Ave,43.612063,-79.496573,2025-07-29T03:42:28.877977+00:00Z,17,1,1,1,0
114,King St W / Charlotte St,43.645572,-79.39399,2025-07-29T03:42:28.791031+00:00Z,12,9,1,1,1
115,Russell Hill Rd / St. Clair Ave W,43.685569,-79.408019,2025-07-29T03:42:28.795306+00:00Z,0,17,1,1,0
116,Harbord St / Clinton St,43.660414,-79.415646,2025-07-29T03:42:28.789901+00:00Z,9,6,1,1,1
117,Jameson Ave / Queen St W,43.63985,-79.43703,2025-07-29T03:42:28.878154+00:00Z,19,7,1,1,1
118,High Park - Grenadier Cafe,43.645599,-79.4657123,2025-07-29T03:42:28.734244+00:00Z,3,6,1,1,1
119,High Park Amphitheatre,43.646251,-79.46472,2025-07-29T03:42:28.795278+00:00Z,4,19,1,1,2
120,Gothic Ave / Quebec Ave,43.65389,-79.4675,2025-07-29T03:42:28.794822+00:00Z,3,14,1,1,1
121,111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,2025-07-29T03:42:28.790607+00:00Z,2,12,1,1,0
122,Grantbrook St / Finch Hydro Corridor Trail,43.780468305361154,-79.43280415488479,2025-07-29T03:42:29.069555+00:00Z,0,14,1,1,0
123,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,2025-07-29T03:42:28.790295+00:00Z,8,6,1,1,0
124,College St / Borden St,43.6571,-79.4056,2025-07-29T03:42:28.733554+00:00Z,2,7,1,1,0
125,Coxwell Ave / Plains Rd,43.69595,-79.328535,2025-07-29T03:42:28.791062+00:00Z,16,3,1,1,0
126,Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,2025-07-29T03:42:28.795334+00:00Z,1,12,1,1,0
127,Glen Long Community Centre,43.70820992643782,-79.45627808717194,2025-07-29T03:42:28.934882+00:00Z,0,15,1,1,0
128,Taddle Creek Park,43.66986,-79.398443,2025-07-29T03:42:28.788624+00:00Z,0,11,1,1,0
129,Bloor St E / Huntley St - SMART,43.671535,-79.379173,2025-07-29T03:42:28.790578+00:00Z,2,16,1,1,1
130,Bay Mills Blvd / Birchmount Ave,43.78342986112393,-79.29955890113074,2025-07-29T03:42:29.216971+00:00Z,7,7,1,1,0
131,Gerrard St E / Leslie St,43.669813,-79.3335,2025-07-29T03:42:28.792369+00:00Z,20,1,1,1,0
132,Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,2025-07-29T03:42:28.933672+00:00Z,0,19,1,1,0
133,Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,2025-07-29T03:42:28.935234+00:00Z,5,9,1,1,0
134,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,2025-07-29T03:42:28.733772+00:00Z,1,17,1,1,0
135,High Park - West Rd,43.651922,-79.465693,2025-07-29T03:42:28.734271+00:00Z,3,17,1,1,1
136,Morningside Park (Highland Creek Trail),43.779353,-79.193023,2025-07-29T03:42:28.879222+00:00Z,1,18,1,1,0
137,Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,2025-07-29T03:42:29.068953+00:00Z,1,11,1,1,0
138,King St W / Cowan Ave - SMART,43.637922,-79.431734,2025-07-29T03:42:28.790314+00:00Z,6,8,1,1,2
139,Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,2025-07-29T03:42:28.935276+00:00Z,1,12,1,1,0
140,Adelaide St W / Bay St,43.650152,-79.379856,2025-07-29T03:42:28.790724+00:00Z,0,22,1,1,0
141,Pharmacy Ave / Eglinton Ave E ,43.72534466992445,-79.2976874085289,2025-07-29T03:42:29.215891+00:00Z,7,8,1,1,3
142,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,2025-07-29T03:42:28.790039+00:00Z,10,20,1,1,0
143,Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,2025-07-29T03:42:29.069351+00:00Z,5,11,1,1,0
144,King St W / Crawford St,43.6417852,-79.4131148,2025-07-29T03:42:28.792196+00:00Z,20,0,1,1,0
145,Isabella St / Church St,43.66834,-79.38235,2025-07-29T03:42:28.792155+00:00Z,19,6,1,1,1
146,Durie St / Dundas St W,43.665523,-79.484892,2025-07-29T03:42:28.878097+00:00Z,1,20,1,1,0
147,Trent Ave / Danforth Ave,43.689293,-79.295895,2025-07-29T03:42:28.795110+00:00Z,2,21,1,1,0
148,Marilyn Bell Park Tennis Court,43.633537,-79.437461,2025-07-29T03:42:28.792357+00:00Z,2,25,1,1,0
149,Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,2025-07-29T03:42:28.795143+00:00Z,5,9,1,1,2
150,Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,2025-07-29T03:42:29.068265+00:00Z,17,0,1,1,0
151,Sherbourne St / Wellesley St E,43.6673,-79.374,2025-07-29T03:42:28.733816+00:00Z,12,16,1,1,6
152,Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,2025-07-29T03:42:28.933034+00:00Z,12,2,1,1,0
153,Sheppard Ave E / Willowdale Ave ,43.76411174298419,-79.39833699652739,2025-07-29T03:42:29.216578+00:00Z,10,1,1,1,0
154,Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,2025-07-29T03:42:28.790684+00:00Z,12,3,1,1,1
155,Front St W / Simcoe St,43.644480035433915,-79.38698781349183,2025-07-29T03:42:29.216854+00:00Z,0,25,1,1,0
156,Centre Island,43.61851569484422,-79.3730330079146,2025-07-29T03:42:29.216795+00:00Z,18,13,1,1,0
157,135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,2025-07-29T03:42:28.879531+00:00Z,14,1,1,1,0
158,15 Price St ,43.6799477790745,-79.38994813684005,2025-07-29T03:42:28.935475+00:00Z,0,14,1,1,0
159,Kennedy Rd / Bertrand Ave,43.73746176713744,-79.26995937672586,2025-07-29T03:42:29.216727+00:00Z,0,10,1,1,0
160,Jarvis St / Dundas St E,43.657266,-79.374756,2025-07-29T03:42:28.788490+00:00Z,13,12,1,1,0
161,Orde St / McCaul St,43.6580442,-79.3927404,2025-07-29T03:42:28.877870+00:00Z,0,13,1,1,0
162,University Ave / King St W - SMART,43.6477785,-79.3847928,2025-07-29T03:42:28.790743+00:00Z,3,20,1,1,0
163,Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,2025-07-29T03:42:29.068389+00:00Z,3,11,1,1,0
164,The Queensway at South Kingsway,43.63632,-79.47307,2025-07-29T03:42:28.792318+00:00Z,13,6,1,1,1
165,Roehampton Ave / Bayview Ave,43.711751,-79.378615,2025-07-29T03:42:28.878920+00:00Z,7,17,1,1,2
166,Phoebe St / Spadina Ave,43.650033,-79.396555,2025-07-29T03:42:28.733509+00:00Z,12,18,1,1,0
167,Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,2025-07-29T03:42:28.879392+00:00Z,2,18,1,1,0
168,Bay St / Bloor St W (East Side),43.66943,-79.38915,2025-07-29T03:42:28.733638+00:00Z,0,14,1,1,0
169,Symington Ave / Dupont St,43.665538,-79.451263,2025-07-29T03:42:28.795441+00:00Z,5,7,1,1,0
170,Silver Springs Blvd / Birchmount Rd,43.800737007917,-79.30671242148874,2025-07-29T03:42:29.216928+00:00Z,2,2,1,1,0
