,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
56,56,Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,2025-07-29,2,17,1,1,0,56,0,1,0,1,8
57,57,Bay St / Albert St,43.653264,-79.382458,2025-07-29,1,58,1,1,0,57,3,0,0,0,7
58,58,Jack Layton Ferry Terminal,43.64103161936887,-79.37670442726134,2025-07-29,1,22,1,1,1,58,1,0,0,2,7
59,59,High Park Outdoor Pool,43.650154,-79.464934,2025-07-29,0,26,1,1,0,59,0,0,2,7,1
60,60,800 Fleet St (South),43.63670985212708,-79.40880517790985,2025-07-29,19,17,1,1,15,60,0,1,1,7,1
61,61,McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,2025-07-29,7,11,1,1,1,61,0,0,0,0,10
62,62,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,2025-07-29,21,2,1,1,0,62,0,1,0,6,3
63,63,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,2025-07-29,7,10,1,1,2,63,1,0,0,1,8
64,64,Niagara St / Tecumseth St,43.641389,-79.404444,2025-07-29,8,6,1,1,1,64,1,2,0,4,3
65,65,Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,2025-07-29,7,6,1,1,2,65,0,0,1,0,9
66,66,Oakdale Community Centre,43.74751496038769,-79.5132569853195,2025-07-29,12,1,1,1,0,66,0,0,1,1,8
67,67,Trinity St /Front St E,43.651318,-79.36023,2025-07-29,15,1,1,1,0,67,1,0,0,3,6
68,68,Finch Ave E / Upper Don Recreational Trail ,43.78893788312306,-79.37488868750592,2025-07-29,11,0,1,1,0,68,0,0,1,0,9
69,69,Sheppard Ave E / Brian Dr,43.7751833232896,-79.33044338101735,2025-07-29,5,12,1,1,1,69,0,0,0,0,10
70,70,Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,2025-07-29,1,18,1,1,0,70,0,0,0,0,10
71,71,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,2025-07-29,18,2,1,1,0,71,3,0,0,1,6
